-- Anomaly Detection based on One Class Support Vector Machines (PCA Features) --
Obs:  0 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs:  1 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs:  2 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs:  3 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs:  4 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs:  5 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs:  0 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs:  1 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs:  2 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs:  3 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs:  4 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs:  5 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs:  6 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK        
Obs:  7 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK        
Obs:  8 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs:  9 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs: 10 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs: 11 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs: 12 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs: 13 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs: 14 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs: 15 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs: 16 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs: 17 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs: 18 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly   
Obs: 19 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK        
Obs: 20 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs: 21 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs: 22 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs: 23 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs: 24 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs: 25 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK        
Obs: 26 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK        
Obs: 27 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 28 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 29 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 30 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 31 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 32 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 33 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 34 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 35 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 36 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 37 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 38 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 39 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 40 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 41 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 42 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 43 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 44 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 45 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 46 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 47 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 48 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 49 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 50 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 51 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 52 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
