-- Anomaly Detection based on One Class Support Vector Machines --
Obs:  0 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK        
Obs:  1 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs:  2 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs:  3 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs:  4 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs:  5 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs:  6 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs:  7 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs:  8 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs:  9 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 10 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 11 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 12 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 13 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 14 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 15 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 16 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 17 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 18 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 19 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 20 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 21 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 22 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
